brand,title,price,currency,available,sold,lastUpdated,itemLocation,Sales Revenue,Kelangkaan Barang
Dior,Christian Dior Sauvage Men's EDP 3.4 oz Fragrance Spray,84.99,US,10.0,116.0,2024-05-24 10:03:04,"Allen Park, Michigan, United States",9858.84,126.0
AS SHOW,A-v-entus Eau de Parfum 3.3 oz 100ML Millesime EDP Col-ogne for Men New In Box,109.99,US,8.0,48.0,2024-05-23 23:07:49,"Atlanta, Georgia, Canada",5279.5199999999995,56.0
Unbranded,HOGO BOSS cologne For Men 3.4 oz,100.0,US,10.0,27.0,2024-05-22 21:55:43,"Dearborn, Michigan, United States",2700.0,37.0
Giorgio Armani,Acqua Di Gio by Giorgio Armani 6.7 Fl oz Eau De Toilette Spray Men' New & Sealed,44.99,US,2.0,159.0,2024-05-24 03:30:43,"Reinholds, Pennsylvania, United States",7153.410000000001,161.0
Lattafa,Lattafa Men's Hayaati Al Maleky EDP Spray 3.4 oz Fragrances 6291108734056,16.91,US,0.0,156.0,2024-05-24 07:56:25,"Brooklyn, New York, United States",2637.96,156.0
Multiple Brands,Men's Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,14.99,US,10.0,79.0,2024-05-23 06:57:41,"Houston, Texas, United States",1184.21,89.0
Maison Alhambra,Glacier Bold by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,30.99,US,9.0,39.0,2024-05-16 13:42:49,"Englewood Cliffs, New Jersey, United States",1208.61,48.0
Unbranded,Parfums De-Marly-Haltane Eau de Parfum spray 4.2 oz for Men New in Box,85.0,US,0.0,6.0,2024-05-24 00:10:39,"Ithaca, New York, United States",510.0,6.0
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 3.4 FL OZ NEW,15.89,US,10.0,17.0,2024-05-24 09:08:14,"shanghai, China",270.13,27.0
Gucci,"Gucci Guilty for Him - Classic 3oz Eau de Toilette Spray, Brand New",49.99,US,8.0,68.0,2024-05-23 07:21:23,"Dearborn Heights, Michigan, United States",3399.32,76.0
Ralph Lauren,Polo Blue by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New In Box,34.99,US,10.0,615.0,2024-05-24 07:53:23,"Ecorse, Michigan, United States",21518.850000000002,625.0
Dolce&Gabbana,Dolce & Gabbana Light Blue Men 4.2 oz / 125 mL EDT Spray Brand New & Sealed,29.95,US,7.0,458.0,2024-05-23 08:37:49,"Warren, Michigan, United States",13717.1,465.0
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,15.99,US,10.0,889.0,2024-05-21 19:20:12,"San Francisco, California, United States",14215.11,899.0
As Show,Sauvage Eau de Parfum Spray For Men 3.4 Oz/100ml New In Seald Box,59.99,US,9.0,63.0,2024-05-23 03:08:18,"Dayton,New Jersey, Hong Kong",3779.3700000000003,72.0
Versace,Eau Fraiche By Versace 3.4 oz 100 ml Eau de Toilette Brand New Sealed In Box,34.99,US,7.0,136.0,2024-05-24 00:02:27,"Warren, Michigan, United States",4758.64,143.0
Paco Rabanne,1 Million by Paco Rabanne 3.4 Fl oz / 100 ml PARFUM Spray Men's New & Sealed,68.99,US,2.0,20.0,2024-05-24 02:41:49,"San Jose, California, United States",1379.8,22.0
Grandeur,Tribal Intense by Grandeur - Eau de Parfum for Men -100ml (3.4oz),37.99,US,10.0,44.0,2024-05-24 08:14:43,"Miami, Florida, United States",1671.5600000000002,54.0
Armaf,Club de Nuit Intense by Armaf 3.6 oz EDT Cologne for Men New In Box & Sealed,29.99,US,5.0,384.0,2024-05-24 05:13:20,"Hamtramck, Michigan, United States",11516.16,389.0
Carolina Herrera,Carolina Herrera 212 NYC Men's Cologne EDT 3.4oz 100ml New Sealed,39.99,US,10.0,236.0,2024-05-23 08:48:22,"Flat Lick, Kentucky, United States",9437.640000000001,246.0
Dior,Dior Sauvage Eau de Toilette 3.4 Oz 100ml Brand New Sealed Free shipping,83.95,US,4.0,22.0,2024-05-22 14:31:55,"Elmhurst, New York, United States",1846.9,26.0
Dolce & Gabbana,Light Blue by Dolce & Gabbana 4.2 oz Cologne for Men Tester with Cap,29.94,US,0.0,9208.0,2024-05-23 20:04:11,"Hackensack, New Jersey, United States",275687.52,9208.0
Clinique,CLINIQUE HAPPY Pour Homme Cologne edt for Men 3.4 oz 3.3 NEW in Box,21.99,US,4.0,86.0,2024-05-21 14:28:23,"Miami, Florida, United States",1891.1399999999999,90.0
Dumont,Dumont Men's Nitro Red EDP Spray 3.4 oz Fragrances 3760060761880,49.99,US,3.0,187.0,2024-05-24 09:02:39,"Brooklyn, New York, United States",9348.130000000001,190.0
Afnan,Turathi Blue by Afnan for men EDP 3oz New in Sealed Box,33.7,US,10.0,131.0,2024-05-21 14:00:54,"Dallas, Texas, United States",4414.700000000001,141.0
Versace,Versace Eros by Gianni Versace 3.4oz EDT Cologne for Men 100ml New in Box,35.99,US,2.0,43.0,2024-05-24 00:13:55,"Pomona, California, United States",1547.5700000000002,45.0
